file,avg_delta_vs_reference,row_better_than_reference_rate,row_equal_to_reference_rate
submission_exp12f_f3_draw_to_win_cap020.csv,0.0,0.0,1.0
submission_exp22_final_candidate.csv,0.0048211263555136274,0.08863325632926312,0.8230635047852529
submission_exp12e_e2_consensus_outcome_agree_only.csv,0.006319994490982202,0.010513412851822168,0.9800103719768045
submission_exp12d_best_safe.csv,0.0076428402275564794,0.013247843100278158,0.9743529300834473
submission_exp12d_d0_exp22_reproduction_exp15.csv,0.011730066724306614,0.017915232662297866,0.9647588515392956
submission_exp12c_c0_exp22_reproduction_exp15_ordinal.csv,0.011730066724306614,0.017915232662297866,0.9647588515392956
submission_exp12d_d5_agreement_hybrid.csv,0.011730066724306614,0.017915232662297866,0.9647588515392956
submission_exp12d_d1_exp15_first.csv,0.011730066724306614,0.017915232662297866,0.9647588515392956
submission_exp12c_c0_exp22_reproduction_exp17_w_specialist.csv,0.01364730073935783,0.038187732780161236,0.9203715053509971
submission_exp12d_d0_exp22_reproduction_exp17.csv,0.01364730073935783,0.038187732780161236,0.9203715053509971
submission_exp12c_best_safe.csv,0.01364730073935783,0.038187732780161236,0.9203715053509971
submission_exp12c_c0_exp22_reproduction_final_candidate.csv,0.01364730073935783,0.038187732780161236,0.9203715053509971
submission_exp12d_d0_exp22_reproduction_final_candidate.csv,0.01364730073935783,0.038187732780161236,0.9203715053509971
submission_exp12d_d2_exp17_original.csv,0.01364730073935783,0.038187732780161236,0.9203715053509971
best_so_far_hubert.csv,0.01394700569976414,0.10449766630521899,0.7956013389279147
submission_exp12b_b5_exp15_calibrated_exp15.csv,0.015220967476017193,0.08665315166658809,0.8257507896845976
submission_exp12b_b5_exp15_calibrated.csv,0.015220967476017193,0.08665315166658809,0.8257507896845976
submission_exp12b_best_safe.csv,0.015220967476017193,0.08665315166658809,0.8257507896845976
submission_exp12d_d4_outcome_calibrated.csv,0.021164226883459807,0.03559473857903918,0.9240959879307906
submission_exp12a_a10_full_reproduction_exp17_w_specialist.csv,0.0216431815208144,0.092263448210834,0.813492998915657
submission_exp12a_a10_full_reproduction.csv,0.0216431815208144,0.092263448210834,0.813492998915657
submission_exp12a_a10_full_reproduction_exp15_ordinal.csv,0.022586338823613408,0.09542218660129179,0.810617132619867
submission_exp12c_c0_exp22_reproduction_advanced_base.csv,0.03545462427829613,0.11710904719249446,0.7595115741832068
submission_exp12d_comparison_advanced_base.csv,0.03545462427829613,0.11710904719249446,0.7595115741832068
submission_exp12b_b5_exp15_calibrated_advanced_base.csv,0.042206041285391786,0.12059780302673141,0.7487152892367168
submission_exp11c_best_safe.csv,0.060687990964432316,0.1783980010371977,0.6184055442930555
submission_exp11a_best_safe.csv,0.06287615012172919,0.17943519871764652,0.6157654047428222
submission_exp11b_best_safe.csv,0.06423059832101208,0.17721936730941493,0.6199141954646175
submission_exp11d_best_safe.csv,0.07009764830161137,0.17825656498986375,0.6207156663995097
submission_exp09d_best_safe.csv,0.08133960221555957,0.18471547781811323,0.5936070906605063
submission_exp09c1_best_safe.csv,0.08227427114494061,0.1854226580547829,0.5928999104238367
submission_exp09c_best_safe.csv,0.08227427114494061,0.1854226580547829,0.5928999104238367
submission_exp05a_lite_fix_v2_best_safe.csv,0.08352201980455105,0.1854226580547829,0.59157984064872
submission_exp05a_lite_best_safe.csv,0.08744790773251099,0.20366790816085992,0.554947904389232
submission_exp08d2_inplace_exp05a_full_tuning_best_safe.csv,0.0903799438083171,0.1882042336523502,0.5802649568620055
submission_exp12d_d3_bias_calibrated.csv,0.09167673197794832,0.09961812267219838,0.7695535335439159
submission_exp09a_best_safe.csv,0.09231535927865814,0.18792136155768233,0.5821979161755693
submission_exp05d_best_safe.csv,0.10307046695783229,0.1877327801612371,0.5804063929093395
submission_exp10a_best_safe.csv,0.11230350749153264,0.20230069303663192,0.5615011079157041
submission_exp12d_d6_exact_booster.csv,0.11390691073249329,0.13507142520390364,0.6625807364103531
submission_exp12a_a10_full_reproduction_advanced_base.csv,0.11407711585712053,0.18862854179435198,0.6113337419263589
submission_exp05c1_best_safe.csv,0.11675471739563534,0.1924001697232568,0.5623497241997077
submission_exp07a_best_safe.csv,0.1250371239978666,0.1891942859836877,0.5636697939748244
submission_exp04b_fix_best_safe.csv,0.13659056966984628,0.20512941398331055,0.5418414973362877
submission_exp07b_best_safe.csv,0.13876592698033305,0.2179058035924756,0.5154872471830654
submission_exp06b_best_safe.csv,0.1399713949292831,0.18905284993635377,0.5651312997972749
submission_exp08d_best_safe.csv,0.18383072953106566,0.21767007684691905,0.5038423459525718
